trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.9025, 'e': 4.0654860940269145e-06}",20,14,12.208191731332784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.9025, 'e': 3.6691011998592903e-06}",30,16,21.887872216504448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9025, 'e': 3.311363832873009e-06}",20,11,14.464413602414703,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.9025, 'e': 2.988505859167891e-06}",30,19,19.739061916027442,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9025, 'e': 2.6971265378990213e-06}",25,13,24.976548366240912,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9025, 'e': 2.4341567004538665e-06}",30,10,30.50586053904978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9025, 'e': 2.1968264221596147e-06}",20,13,12.305884976983368,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9025, 'e': 1.9826358459990523e-06}",30,16,30.017905894824775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9025, 'e': 1.7893288510141445e-06}",20,10,19.068954022857355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.9025, 'e': 1.6148692880402654e-06}",20,13,12.46597702891653,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9025, 'e': 1.4574195324563394e-06}",20,6,22.768239807656098,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9025, 'e': 1.3153211280418463e-06}",25,20,9.24653888040111,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9025, 'e': 1.1870773180577663e-06}",20,13,15.932381165474185,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9025, 'e': 1.071337279547134e-06}",20,5,30.299463871160324,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9025, 'e': 9.668818947912884e-07}",25,8,29.284572722337447,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9025, 'e': 8.726109100491378e-07}",25,9,32.43979473498517,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.9025, 'e': 7.875313463193467e-07}",20,2,32.564019555795845,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9025, 'e': 7.107470400532105e-07}",20,4,27.45386680687925,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.9025, 'e': 6.414492036480224e-07}",25,11,27.58476128070175,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9025, 'e': 5.789079062923401e-07}",25,13,13.271923539568231,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.9025, 'e': 5.224643854288371e-07}",20,12,12.855153186632604,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9025, 'e': 4.715241078495254e-07}",25,7,27.21235382017861,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9025, 'e': 4.2555050733419667e-07}",25,5,35.651151095498115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.9025, 'e': 3.840593328691125e-07}",20,10,21.090580975291537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.9025, 'e': 3.46613547914374e-07}",20,12,13.94045570657342,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9025, 'e': 3.128187269927225e-07}",25,7,34.2702518897017,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9025, 'e': 2.823189011109321e-07}",20,7,20.463956398657096,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.9025, 'e': 2.547928082526162e-07}",35,19,27.64840669992023,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9025, 'e': 2.2995050944798608e-07}",25,8,29.507262043306326,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9025, 'e': 2.0753033477680743e-07}",20,14,10.478474275442121,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9025, 'e': 1.8729612713606872e-07}",25,15,14.460219944392074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9025, 'e': 1.69034754740302e-07}",20,8,24.302655501891923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9025, 'e': 1.5255386615312256e-07}",25,17,15.138735221725186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9025, 'e': 1.376798642031931e-07}",30,3,43.15891986881408,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9025, 'e': 1.2425607744338176e-07}",25,0,37.27121250576563,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.9025, 'e': 1.1214110989265203e-07}",20,11,10.639712697605463,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9025, 'e': 1.0120735167811846e-07}",20,3,29.617073711251745,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9025, 'e': 9.133963488950191e-08}",20,12,14.493179638870206,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9025, 'e': 8.243402048777547e-08}",20,14,7.252269677021624,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9025, 'e': 7.439670349021736e-08}",30,16,27.54289056872931,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9025, 'e': 6.714302489992117e-08}",25,18,8.613757876084687,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9025, 'e': 6.059657997217885e-08}",25,11,25.738794815795213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9025, 'e': 5.468841342489141e-08}",20,8,20.119549751292677,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
